Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"23/11/2015","APT 20 CASTLEGROVE, CASTLEBAR, MAYO","","Mayo","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"24/11/2015","10 KNOCKTHOMAS DR, CASTLEBAR, MAYO","","Mayo","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"24/11/2015","67 GLENFORT, POUND RD, CASTLEBAR","","Mayo","€92,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"24/11/2015","Moyhastin, Westport","","Mayo","€100,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"24/11/2015","ROSLAHAN, BELCARRA, CASTLEBAR","","Mayo","€82,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/11/2015","19 AIDEN ST, KILTIMAGH, MAYO","","Mayo","€31,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/11/2015","CREGGAN LAKE HOUSE, CARROWBAUN, WESTPORT","","Mayo","€430,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/11/2015","MOUNTAIN VIEW, BALLINA RD, FOXFORD","","Mayo","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/11/2015","NEPHIN VIEW, KNOCKANILLAUN, BALLINA","","Mayo","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"26/11/2015","10 CUSHLOUGH, SALEEN, CASTLEBAR","","Mayo","€72,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"26/11/2015","ARDBOLEY NORTH, BALLA, COUNTY MAYO","","Mayo","€69,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"26/11/2015","Carrownaltore, Turlough Road, Castlebar","","Mayo","€232,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"26/11/2015","CHAPEL ST, LOUISBURGH, CO MAYO","","Mayo","€64,700.00","No","No","Second-Hand Dwelling house /Apartment",""
"26/11/2015","GOSPA, MASSBROOK SOUTH, BOFEENAUN","","Mayo","€166,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"26/11/2015","KILBRIDE, SWINFORD, MAYO","","Mayo","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
